column,description
player_id,Unique player identifier from nflverse
player_display_name,Player full name (lowercased)
position,"Player position (WR, RB, TE, QB only)"
season,NFL season year
week,NFL week number
recent_team,Team abbreviation the player was on that week
fantasy_points_ppr,PPR fantasy points scored that week
targets,Number of times targeted that week
receptions,Number of catches that week
carries,Number of rushing attempts that week
air_yards,Total air yards on targets that week
offense_snaps,Raw number of offensive snaps played
offense_pct,Percentage of team offensive snaps played
target_share,Targets as % of total team targets that week
snap_share,Snap % directly from snaps data (offense_pct)
air_yards_share,Air yards as % of total team air yards that week
rolling_target_share,4 week rolling average of target share
rolling_snap_share,4 week rolling average of snap share
rolling_air_yards_share,4 week rolling average of air yards share
next_week_points,PPR fantasy points scored the following week (what we are predicting)
points_jump,Difference between next week points and this week points
rolling_points,3 week rolling average of fantasy points
points_trend,Week over week change in rolling points average (positive = trending up)
target_share_trend,Week over week change in rolling target share (positive = getting more targets)
snap_share_trend,Week over week change in rolling snap share (positive = getting more snaps)
score_points_jump,"1 if points jump is in top 20% of dataset, else 0"
score_points_trend,"1 if rolling points average is trending up, else 0"
score_target_trend,"1 if target share is trending up, else 0"
score_snap_trend,"1 if snap share is trending up, else 0"
score_floor,"1 if player scored at least 8 PPR points that week, else 0"
sleeper_score,Sum of all score columns above (0-5)
is_sleeper,"TARGET VARIABLE — 1 if sleeper_score >= 4, else 0. This is what the model predicts"
ecr,Expert Consensus Ranking (redraft overall) — lower is more valuable. Filtered to ECR 21-150 only
